,case_id,activity,resource,start_timestamp,lifecycle:transition_start,end_timestamp,lifecycle:transition_end
80102,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:15.959000+00:00,START,2011-12-29 19:37:24.335000+00:00,COMPLETE
80103,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:15.959000+00:00,START,2011-12-29 19:38:20.722000+00:00,COMPLETE
80104,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:15.959000+00:00,START,2011-12-29 19:39:25.159000+00:00,COMPLETE
80105,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:15.959000+00:00,START,2011-12-29 19:43:19.425000+00:00,COMPLETE
80106,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:33:06.336000+00:00,COMPLETE
80107,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:34:48.220000+00:00,COMPLETE
80108,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:35:26.522000+00:00,COMPLETE
80109,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:35:51.940000+00:00,COMPLETE
80110,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:36:13.870000+00:00,COMPLETE
80111,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:36:49.042000+00:00,COMPLETE
80112,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:37:24.335000+00:00,COMPLETE
80113,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:38:20.722000+00:00,COMPLETE
80114,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:39:25.159000+00:00,COMPLETE
80115,196455,W_Completeren aanvraag,11181,2011-12-29 19:36:52.284000+00:00,START,2011-12-29 19:43:19.425000+00:00,COMPLETE
80116,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:33:06.336000+00:00,COMPLETE
80117,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:34:48.220000+00:00,COMPLETE
80118,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:35:26.522000+00:00,COMPLETE
80119,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:35:51.940000+00:00,COMPLETE
80120,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:36:13.870000+00:00,COMPLETE
80121,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:36:49.042000+00:00,COMPLETE
80122,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:37:24.335000+00:00,COMPLETE
80123,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:38:20.722000+00:00,COMPLETE
80124,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:39:25.159000+00:00,COMPLETE
80125,196455,W_Completeren aanvraag,11181,2011-12-29 19:37:31.022000+00:00,START,2011-12-29 19:43:19.425000+00:00,COMPLETE
80126,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:33:06.336000+00:00,COMPLETE
80127,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:34:48.220000+00:00,COMPLETE
80128,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:35:26.522000+00:00,COMPLETE
80129,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:35:51.940000+00:00,COMPLETE
80130,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:36:13.870000+00:00,COMPLETE
80131,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:36:49.042000+00:00,COMPLETE
80132,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:37:24.335000+00:00,COMPLETE
80133,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:38:20.722000+00:00,COMPLETE
80134,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:39:25.159000+00:00,COMPLETE
80135,196455,W_Completeren aanvraag,11181,2011-12-29 19:38:24.793000+00:00,START,2011-12-29 19:43:19.425000+00:00,COMPLETE
80136,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:33:06.336000+00:00,COMPLETE
80137,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:34:48.220000+00:00,COMPLETE
80138,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:35:26.522000+00:00,COMPLETE
80139,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:35:51.940000+00:00,COMPLETE
80140,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:36:13.870000+00:00,COMPLETE
80141,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:36:49.042000+00:00,COMPLETE
80142,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:37:24.335000+00:00,COMPLETE
80143,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:38:20.722000+00:00,COMPLETE
80144,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:39:25.159000+00:00,COMPLETE
80145,196455,W_Completeren aanvraag,11181,2011-12-29 19:39:27.302000+00:00,START,2011-12-29 19:43:19.425000+00:00,COMPLETE
80146,196455,W_Nabellen offertes,11181,2011-12-29 19:43:35.892000+00:00,START,2011-12-29 19:45:19.968000+00:00,COMPLETE
80147,196455,W_Nabellen offertes,10935,2012-01-06 12:48:11.572000+00:00,START,2012-01-06 12:51:28.133000+00:00,COMPLETE
80148,196455,W_Nabellen offertes,10910,2012-01-12 09:38:01.863000+00:00,START,2012-01-12 09:38:53.060000+00:00,COMPLETE
80149,196455,W_Nabellen offertes,10910,2012-01-12 09:38:01.863000+00:00,START,2012-01-12 09:40:23.665000+00:00,COMPLETE
80150,196455,W_Nabellen offertes,10910,2012-01-12 09:38:01.863000+00:00,START,2012-01-12 09:42:07.485000+00:00,COMPLETE
80151,196455,W_Nabellen offertes,10910,2012-01-12 09:38:58.342000+00:00,START,2012-01-12 09:38:53.060000+00:00,COMPLETE
80152,196455,W_Nabellen offertes,10910,2012-01-12 09:38:58.342000+00:00,START,2012-01-12 09:40:23.665000+00:00,COMPLETE
80153,196455,W_Nabellen offertes,10910,2012-01-12 09:38:58.342000+00:00,START,2012-01-12 09:42:07.485000+00:00,COMPLETE
80154,196455,W_Nabellen offertes,10910,2012-01-12 09:41:26.199000+00:00,START,2012-01-12 09:38:53.060000+00:00,COMPLETE
80155,196455,W_Nabellen offertes,10910,2012-01-12 09:41:26.199000+00:00,START,2012-01-12 09:40:23.665000+00:00,COMPLETE
80156,196455,W_Nabellen offertes,10910,2012-01-12 09:41:26.199000+00:00,START,2012-01-12 09:42:07.485000+00:00,COMPLETE
80157,196455,W_Nabellen offertes,11119,2012-01-18 20:10:19.012000+00:00,START,2012-01-18 20:12:10.238000+00:00,COMPLETE
80158,196455,W_Nabellen offertes,11180,2012-01-26 19:04:36.737000+00:00,START,2012-01-26 19:05:01.514000+00:00,COMPLETE
80159,196455,W_Nabellen offertes,10913,2012-01-28 13:54:56.421000+00:00,START,2012-01-28 13:57:06.010000+00:00,COMPLETE
80160,196455,W_Nabellen offertes,11259,2012-02-06 10:59:29.730000+00:00,START,2012-02-06 10:59:46.041000+00:00,COMPLETE
80161,196455,W_Valideren aanvraag,11289,2012-02-09 16:20:17.413000+00:00,START,2012-02-09 16:58:40.002000+00:00,COMPLETE
80162,196455,W_Valideren aanvraag,11289,2012-02-09 16:20:17.413000+00:00,START,2012-02-10 08:52:12.618000+00:00,COMPLETE
80163,196455,W_Valideren aanvraag,11289,2012-02-09 16:20:17.413000+00:00,START,2012-02-10 09:31:10.004000+00:00,COMPLETE
80164,196455,W_Valideren aanvraag,11289,2012-02-09 16:20:17.413000+00:00,START,2012-02-17 14:12:11.869000+00:00,COMPLETE
80165,196455,W_Valideren aanvraag,11289,2012-02-10 08:46:27.021000+00:00,START,2012-02-09 16:58:40.002000+00:00,COMPLETE
80166,196455,W_Valideren aanvraag,11289,2012-02-10 08:46:27.021000+00:00,START,2012-02-10 08:52:12.618000+00:00,COMPLETE
80167,196455,W_Valideren aanvraag,11289,2012-02-10 08:46:27.021000+00:00,START,2012-02-10 09:31:10.004000+00:00,COMPLETE
80168,196455,W_Valideren aanvraag,11289,2012-02-10 08:46:27.021000+00:00,START,2012-02-17 14:12:11.869000+00:00,COMPLETE
80169,196455,W_Valideren aanvraag,11289,2012-02-10 08:54:54.088000+00:00,START,2012-02-09 16:58:40.002000+00:00,COMPLETE
80170,196455,W_Valideren aanvraag,11289,2012-02-10 08:54:54.088000+00:00,START,2012-02-10 08:52:12.618000+00:00,COMPLETE
80171,196455,W_Valideren aanvraag,11289,2012-02-10 08:54:54.088000+00:00,START,2012-02-10 09:31:10.004000+00:00,COMPLETE
80172,196455,W_Valideren aanvraag,11289,2012-02-10 08:54:54.088000+00:00,START,2012-02-17 14:12:11.869000+00:00,COMPLETE
80173,196455,W_Valideren aanvraag,10972,2012-02-10 10:55:11.911000+00:00,START,2012-02-10 11:03:55.021000+00:00,COMPLETE
80174,196455,W_Valideren aanvraag,10972,2012-02-10 10:55:11.911000+00:00,START,2012-02-17 16:44:17.636000+00:00,COMPLETE
80175,196455,W_Nabellen incomplete dossiers,11181,2012-02-10 15:06:32.368000+00:00,START,2012-02-10 15:10:28.125000+00:00,COMPLETE
80176,196455,W_Nabellen incomplete dossiers,11181,2012-02-10 15:06:32.368000+00:00,START,2012-02-10 15:12:16.367000+00:00,COMPLETE
80177,196455,W_Nabellen incomplete dossiers,11181,2012-02-10 15:10:46.184000+00:00,START,2012-02-10 15:10:28.125000+00:00,COMPLETE
80178,196455,W_Nabellen incomplete dossiers,11181,2012-02-10 15:10:46.184000+00:00,START,2012-02-10 15:12:16.367000+00:00,COMPLETE
80179,196455,W_Nabellen incomplete dossiers,11169,2012-02-14 12:13:40.166000+00:00,START,2012-02-14 12:16:04.193000+00:00,COMPLETE
80180,196455,W_Nabellen incomplete dossiers,11000,2012-02-16 09:50:18.836000+00:00,START,2012-02-16 09:55:40.680000+00:00,COMPLETE
80181,196455,W_Nabellen incomplete dossiers,10789,2012-02-17 10:48:03.949000+00:00,START,2012-02-17 10:50:29.968000+00:00,COMPLETE
80182,196455,W_Valideren aanvraag,10789,2012-02-17 10:52:13.017000+00:00,START,2012-02-17 10:52:49.613000+00:00,COMPLETE
80183,196455,W_Valideren aanvraag,11289,2012-02-17 14:00:43.164000+00:00,START,2012-02-09 16:58:40.002000+00:00,COMPLETE
80184,196455,W_Valideren aanvraag,11289,2012-02-17 14:00:43.164000+00:00,START,2012-02-10 08:52:12.618000+00:00,COMPLETE
80185,196455,W_Valideren aanvraag,11289,2012-02-17 14:00:43.164000+00:00,START,2012-02-10 09:31:10.004000+00:00,COMPLETE
80186,196455,W_Valideren aanvraag,11289,2012-02-17 14:00:43.164000+00:00,START,2012-02-17 14:12:11.869000+00:00,COMPLETE
80187,196455,W_Valideren aanvraag,10972,2012-02-17 16:42:48.933000+00:00,START,2012-02-10 11:03:55.021000+00:00,COMPLETE
80188,196455,W_Valideren aanvraag,10972,2012-02-17 16:42:48.933000+00:00,START,2012-02-17 16:44:17.636000+00:00,COMPLETE
80300,196479,W_Afhandelen leads,10939,2011-12-29 17:04:12.213000+00:00,START,2011-12-29 17:07:19.303000+00:00,COMPLETE
80301,196479,W_Completeren aanvraag,11180,2011-12-29 20:04:02.149000+00:00,START,2011-12-29 20:06:10.916000+00:00,COMPLETE
80365,196488,W_Completeren aanvraag,11169,2011-12-29 17:06:47.239000+00:00,START,2011-12-29 17:15:34.060000+00:00,COMPLETE
80366,196488,W_Nabellen offertes,10881,2012-01-03 14:07:14.218000+00:00,START,2012-01-03 14:14:04.771000+00:00,COMPLETE
80367,196488,W_Nabellen offertes,10881,2012-01-03 14:07:14.218000+00:00,START,2012-01-03 14:15:55.259000+00:00,COMPLETE
80368,196488,W_Nabellen offertes,10881,2012-01-03 14:15:21.689000+00:00,START,2012-01-03 14:14:04.771000+00:00,COMPLETE
80369,196488,W_Nabellen offertes,10881,2012-01-03 14:15:21.689000+00:00,START,2012-01-03 14:15:55.259000+00:00,COMPLETE
80370,196488,W_Nabellen offertes,11049,2012-01-05 10:26:28.482000+00:00,START,2012-01-05 10:27:11.920000+00:00,COMPLETE
80371,196488,W_Valideren aanvraag,10629,2012-01-12 08:15:59.508000+00:00,START,2012-01-12 08:46:36.974000+00:00,COMPLETE
80392,196512,W_Completeren aanvraag,11181,2011-12-29 19:50:22.618000+00:00,START,2011-12-29 19:51:45.130000+00:00,COMPLETE
80393,196512,W_Completeren aanvraag,11180,2011-12-29 19:55:02.743000+00:00,START,2011-12-29 19:55:10.291000+00:00,COMPLETE
80394,196512,W_Completeren aanvraag,10939,2011-12-29 20:46:11.360000+00:00,START,2011-12-29 20:48:22.775000+00:00,COMPLETE
80395,196512,W_Completeren aanvraag,10861,2011-12-30 11:47:18.475000+00:00,START,2011-12-30 11:57:57.445000+00:00,COMPLETE
80396,196512,W_Nabellen offertes,10861,2011-12-30 11:59:05.775000+00:00,START,2011-12-30 12:02:00.536000+00:00,COMPLETE
80397,196512,W_Nabellen offertes,10909,2012-01-07 16:09:05.663000+00:00,START,2012-01-07 16:12:00.547000+00:00,COMPLETE
80457,196524,W_Completeren aanvraag,11180,2011-12-29 20:46:20.982000+00:00,START,2011-12-29 20:57:19.210000+00:00,COMPLETE
80458,196524,W_Nabellen offertes,10935,2012-01-06 16:39:46.817000+00:00,START,2012-01-06 16:45:13.449000+00:00,COMPLETE
80459,196524,W_Nabellen offertes,10789,2012-01-13 16:23:04.330000+00:00,START,2012-01-13 16:23:15.941000+00:00,COMPLETE
80460,196524,W_Valideren aanvraag,10809,2012-01-17 15:13:00.418000+00:00,START,2012-01-17 15:13:29.191000+00:00,COMPLETE
80461,196524,W_Valideren aanvraag,10809,2012-01-17 15:13:00.418000+00:00,START,2012-01-17 16:10:19.900000+00:00,COMPLETE
80462,196524,W_Valideren aanvraag,10809,2012-01-17 15:13:00.418000+00:00,START,2012-01-18 13:18:14.476000+00:00,COMPLETE
80463,196524,W_Valideren aanvraag,10809,2012-01-17 15:13:00.418000+00:00,START,2012-01-25 13:19:45.284000+00:00,COMPLETE
80464,196524,W_Valideren aanvraag,10809,2012-01-17 15:52:37.781000+00:00,START,2012-01-17 15:13:29.191000+00:00,COMPLETE
80465,196524,W_Valideren aanvraag,10809,2012-01-17 15:52:37.781000+00:00,START,2012-01-17 16:10:19.900000+00:00,COMPLETE
80466,196524,W_Valideren aanvraag,10809,2012-01-17 15:52:37.781000+00:00,START,2012-01-18 13:18:14.476000+00:00,COMPLETE
80467,196524,W_Valideren aanvraag,10809,2012-01-17 15:52:37.781000+00:00,START,2012-01-25 13:19:45.284000+00:00,COMPLETE
80468,196524,W_Nabellen incomplete dossiers,10929,2012-01-17 16:51:12.298000+00:00,START,2012-01-17 16:56:05.671000+00:00,COMPLETE
80469,196524,W_Nabellen incomplete dossiers,10929,2012-01-17 16:51:12.298000+00:00,START,2012-01-17 20:54:25.136000+00:00,COMPLETE
80470,196524,W_Nabellen incomplete dossiers,10929,2012-01-17 20:54:01.306000+00:00,START,2012-01-17 16:56:05.671000+00:00,COMPLETE
80471,196524,W_Nabellen incomplete dossiers,10929,2012-01-17 20:54:01.306000+00:00,START,2012-01-17 20:54:25.136000+00:00,COMPLETE
80472,196524,W_Nabellen incomplete dossiers,10913,2012-01-18 10:40:01.497000+00:00,START,2012-01-18 10:43:24.190000+00:00,COMPLETE
80473,196524,W_Nabellen incomplete dossiers,10913,2012-01-18 10:40:01.497000+00:00,START,2012-01-18 10:46:53.311000+00:00,COMPLETE
80474,196524,W_Nabellen incomplete dossiers,10913,2012-01-18 10:46:04.934000+00:00,START,2012-01-18 10:43:24.190000+00:00,COMPLETE
80475,196524,W_Nabellen incomplete dossiers,10913,2012-01-18 10:46:04.934000+00:00,START,2012-01-18 10:46:53.311000+00:00,COMPLETE
80476,196524,W_Nabellen incomplete dossiers,10881,2012-01-18 11:28:34.728000+00:00,START,2012-01-18 11:33:16.194000+00:00,COMPLETE
80477,196524,W_Valideren aanvraag,10809,2012-01-18 13:09:37.651000+00:00,START,2012-01-17 15:13:29.191000+00:00,COMPLETE
80478,196524,W_Valideren aanvraag,10809,2012-01-18 13:09:37.651000+00:00,START,2012-01-17 16:10:19.900000+00:00,COMPLETE
80479,196524,W_Valideren aanvraag,10809,2012-01-18 13:09:37.651000+00:00,START,2012-01-18 13:18:14.476000+00:00,COMPLETE
80480,196524,W_Valideren aanvraag,10809,2012-01-18 13:09:37.651000+00:00,START,2012-01-25 13:19:45.284000+00:00,COMPLETE
80481,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 17:46:57.199000+00:00,START,2012-01-18 17:59:06.101000+00:00,COMPLETE
80482,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 17:46:57.199000+00:00,START,2012-01-18 18:05:35.003000+00:00,COMPLETE
80483,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 17:46:57.199000+00:00,START,2012-01-18 18:06:24.436000+00:00,COMPLETE
80484,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 17:46:57.199000+00:00,START,2012-01-18 18:26:07.878000+00:00,COMPLETE
80485,196524,W_Nabellen incomplete dossiers,11289,2012-01-18 18:00:27.469000+00:00,START,2012-01-18 18:03:19.449000+00:00,COMPLETE
80486,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:03:32.942000+00:00,START,2012-01-18 17:59:06.101000+00:00,COMPLETE
80487,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:03:32.942000+00:00,START,2012-01-18 18:05:35.003000+00:00,COMPLETE
80488,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:03:32.942000+00:00,START,2012-01-18 18:06:24.436000+00:00,COMPLETE
80489,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:03:32.942000+00:00,START,2012-01-18 18:26:07.878000+00:00,COMPLETE
80490,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:05:44.234000+00:00,START,2012-01-18 17:59:06.101000+00:00,COMPLETE
80491,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:05:44.234000+00:00,START,2012-01-18 18:05:35.003000+00:00,COMPLETE
80492,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:05:44.234000+00:00,START,2012-01-18 18:06:24.436000+00:00,COMPLETE
80493,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:05:44.234000+00:00,START,2012-01-18 18:26:07.878000+00:00,COMPLETE
80494,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:24:25.049000+00:00,START,2012-01-18 17:59:06.101000+00:00,COMPLETE
80495,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:24:25.049000+00:00,START,2012-01-18 18:05:35.003000+00:00,COMPLETE
80496,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:24:25.049000+00:00,START,2012-01-18 18:06:24.436000+00:00,COMPLETE
80497,196524,W_Nabellen incomplete dossiers,11119,2012-01-18 18:24:25.049000+00:00,START,2012-01-18 18:26:07.878000+00:00,COMPLETE
80498,196524,W_Nabellen incomplete dossiers,10899,2012-01-25 11:39:03.021000+00:00,START,2012-01-25 11:41:32.023000+00:00,COMPLETE
80499,196524,W_Valideren aanvraag,10809,2012-01-25 12:50:13.417000+00:00,START,2012-01-17 15:13:29.191000+00:00,COMPLETE
80500,196524,W_Valideren aanvraag,10809,2012-01-25 12:50:13.417000+00:00,START,2012-01-17 16:10:19.900000+00:00,COMPLETE
80501,196524,W_Valideren aanvraag,10809,2012-01-25 12:50:13.417000+00:00,START,2012-01-18 13:18:14.476000+00:00,COMPLETE
80502,196524,W_Valideren aanvraag,10809,2012-01-25 12:50:13.417000+00:00,START,2012-01-25 13:19:45.284000+00:00,COMPLETE
80504,196530,W_Completeren aanvraag,11181,2011-12-29 20:46:51.568000+00:00,START,2011-12-29 20:49:00.574000+00:00,COMPLETE
80505,196530,W_Completeren aanvraag,11181,2011-12-29 20:46:51.568000+00:00,START,2011-12-30 20:55:12.645000+00:00,COMPLETE
80506,196530,W_Completeren aanvraag,10861,2011-12-30 12:03:38.394000+00:00,START,2011-12-30 12:04:39.073000+00:00,COMPLETE
80507,196530,W_Completeren aanvraag,10861,2011-12-30 12:03:38.394000+00:00,START,2011-12-30 14:42:46.478000+00:00,COMPLETE
80508,196530,W_Completeren aanvraag,10861,2011-12-30 14:41:49.471000+00:00,START,2011-12-30 12:04:39.073000+00:00,COMPLETE
80509,196530,W_Completeren aanvraag,10861,2011-12-30 14:41:49.471000+00:00,START,2011-12-30 14:42:46.478000+00:00,COMPLETE
80510,196530,W_Completeren aanvraag,11181,2011-12-30 20:55:06.581000+00:00,START,2011-12-29 20:49:00.574000+00:00,COMPLETE
80511,196530,W_Completeren aanvraag,11181,2011-12-30 20:55:06.581000+00:00,START,2011-12-30 20:55:12.645000+00:00,COMPLETE
80512,196530,W_Completeren aanvraag,10939,2011-12-31 13:24:37.252000+00:00,START,2011-12-31 13:26:08.057000+00:00,COMPLETE
80513,196530,W_Completeren aanvraag,10939,2011-12-31 13:24:37.252000+00:00,START,2012-01-29 09:15:22.531000+00:00,COMPLETE
80514,196533,W_Completeren aanvraag,11122,2011-12-29 20:13:45.706000+00:00,START,2011-12-29 20:14:43.970000+00:00,COMPLETE
80515,196533,W_Completeren aanvraag,11180,2011-12-29 20:24:23.891000+00:00,START,2011-12-29 20:38:39.696000+00:00,COMPLETE
80516,196533,W_Nabellen offertes,10935,2012-01-06 16:32:18.463000+00:00,START,2012-01-06 16:39:39.753000+00:00,COMPLETE
80517,196533,W_Nabellen offertes,10899,2012-01-12 11:31:52.167000+00:00,START,2012-01-12 11:32:06.510000+00:00,COMPLETE
80518,196533,W_Valideren aanvraag,10972,2012-01-16 19:14:58.531000+00:00,START,2012-01-16 20:16:54.978000+00:00,COMPLETE
80621,196551,W_Afhandelen leads,11180,2011-12-29 20:38:53.759000+00:00,START,2011-12-29 20:41:26.320000+00:00,COMPLETE
80622,196551,W_Completeren aanvraag,11181,2011-12-29 20:49:28.094000+00:00,START,2011-12-29 20:52:25.328000+00:00,COMPLETE
80623,196551,W_Completeren aanvraag,10909,2011-12-30 11:41:54.258000+00:00,START,2011-12-30 11:48:40.398000+00:00,COMPLETE
81055,196639,W_Completeren aanvraag,11003,2011-12-30 11:18:54.704000+00:00,START,2011-12-30 11:20:39.641000+00:00,COMPLETE
81056,196639,W_Completeren aanvraag,11003,2011-12-30 11:18:54.704000+00:00,START,2011-12-30 13:16:53.604000+00:00,COMPLETE
81057,196639,W_Completeren aanvraag,11003,2011-12-30 13:09:26.393000+00:00,START,2011-12-30 11:20:39.641000+00:00,COMPLETE
81058,196639,W_Completeren aanvraag,11003,2011-12-30 13:09:26.393000+00:00,START,2011-12-30 13:16:53.604000+00:00,COMPLETE
81059,196639,W_Nabellen offertes,11259,2012-01-05 11:27:54.883000+00:00,START,2012-01-05 11:28:05.240000+00:00,COMPLETE
81060,196639,W_Valideren aanvraag,10138,2012-01-11 09:00:08.481000+00:00,START,2012-01-11 09:24:14.685000+00:00,COMPLETE
81061,196639,W_Valideren aanvraag,10138,2012-01-11 09:00:08.481000+00:00,START,2012-01-11 10:07:02.526000+00:00,COMPLETE
81062,196639,W_Nabellen incomplete dossiers,11189,2012-01-11 09:30:54.667000+00:00,START,2012-01-11 09:34:19.396000+00:00,COMPLETE
81063,196639,W_Nabellen incomplete dossiers,11189,2012-01-11 09:30:54.667000+00:00,START,2012-01-11 10:01:57.320000+00:00,COMPLETE
81064,196639,W_Nabellen incomplete dossiers,11189,2012-01-11 09:52:08.753000+00:00,START,2012-01-11 09:34:19.396000+00:00,COMPLETE
81065,196639,W_Nabellen incomplete dossiers,11189,2012-01-11 09:52:08.753000+00:00,START,2012-01-11 10:01:57.320000+00:00,COMPLETE
81066,196639,W_Valideren aanvraag,10138,2012-01-11 10:02:43.712000+00:00,START,2012-01-11 09:24:14.685000+00:00,COMPLETE
81067,196639,W_Valideren aanvraag,10138,2012-01-11 10:02:43.712000+00:00,START,2012-01-11 10:07:02.526000+00:00,COMPLETE
81147,196663,W_Afhandelen leads,10861,2011-12-30 10:36:54.125000+00:00,START,2011-12-30 13:10:01.277000+00:00,COMPLETE
81148,196663,W_Afhandelen leads,10861,2011-12-30 10:36:54.125000+00:00,START,2011-12-30 13:11:21.845000+00:00,COMPLETE
81149,196663,W_Afhandelen leads,10861,2011-12-30 13:10:14.141000+00:00,START,2011-12-30 13:10:01.277000+00:00,COMPLETE
81150,196663,W_Afhandelen leads,10861,2011-12-30 13:10:14.141000+00:00,START,2011-12-30 13:11:21.845000+00:00,COMPLETE
81151,196666,W_Completeren aanvraag,10861,2011-12-30 13:17:06.380000+00:00,START,2011-12-30 13:18:58.812000+00:00,COMPLETE
81152,196666,W_Completeren aanvraag,11181,2011-12-30 18:22:03.305000+00:00,START,2011-12-30 18:29:06.875000+00:00,COMPLETE
81153,196666,W_Completeren aanvraag,11181,2011-12-30 18:22:03.305000+00:00,START,2011-12-30 18:32:06.214000+00:00,COMPLETE
81154,196666,W_Completeren aanvraag,11181,2011-12-30 18:22:03.305000+00:00,START,2011-12-30 18:32:49.139000+00:00,COMPLETE
81155,196666,W_Completeren aanvraag,11181,2011-12-30 18:22:03.305000+00:00,START,2011-12-30 18:41:01.241000+00:00,COMPLETE
81156,196666,W_Completeren aanvraag,11181,2011-12-30 18:29:10.686000+00:00,START,2011-12-30 18:29:06.875000+00:00,COMPLETE
81157,196666,W_Completeren aanvraag,11181,2011-12-30 18:29:10.686000+00:00,START,2011-12-30 18:32:06.214000+00:00,COMPLETE
81158,196666,W_Completeren aanvraag,11181,2011-12-30 18:29:10.686000+00:00,START,2011-12-30 18:32:49.139000+00:00,COMPLETE
81159,196666,W_Completeren aanvraag,11181,2011-12-30 18:29:10.686000+00:00,START,2011-12-30 18:41:01.241000+00:00,COMPLETE
81160,196666,W_Completeren aanvraag,11181,2011-12-30 18:32:20.147000+00:00,START,2011-12-30 18:29:06.875000+00:00,COMPLETE
81161,196666,W_Completeren aanvraag,11181,2011-12-30 18:32:20.147000+00:00,START,2011-12-30 18:32:06.214000+00:00,COMPLETE
81162,196666,W_Completeren aanvraag,11181,2011-12-30 18:32:20.147000+00:00,START,2011-12-30 18:32:49.139000+00:00,COMPLETE
81163,196666,W_Completeren aanvraag,11181,2011-12-30 18:32:20.147000+00:00,START,2011-12-30 18:41:01.241000+00:00,COMPLETE
81164,196666,W_Completeren aanvraag,11181,2011-12-30 18:32:52.281000+00:00,START,2011-12-30 18:29:06.875000+00:00,COMPLETE
